name.unique	san	url	last_move_number
Amar Gambit	1. Nh3 d5 2. g3 e5 3. f4 Bxh3 4. Bxh3 exf4	https://lichess.org/0kWCR1mS	8
Amar Opening	1. Nh3	https://lichess.org/9wingJNa	1
Amar Opening: Gent Gambit	1. Nh3 d5 2. g3 e5 3. f4 Bxh3 4. Bxh3 exf4 5. O-O fxg3 6. hxg3	https://lichess.org/WLpDA5GU	11
Amar Opening: Paris Gambit	1. Nh3 d5 2. g3 e5 3. f4	https://lichess.org/GyetaCzR	5
Amsterdam Attack	1. e3 e5 2. c4 d6 3. Nc3 Nc6 4. b3 Nf6	https://lichess.org/0ohbcgd4	8
Anderssen's Opening	1. a3	https://lichess.org/d9K1VFiY	1
Anderssen's Opening: Polish Gambit	1. a3 a5 2. b4	https://lichess.org/MAKhlQL8	3
Barnes Opening: Fool's Mate	1. f3 e5 2. g4 Qh4#	https://lichess.org/6caeczib	4
Barnes Opening: Gedult Gambit 1	1. f3 d5 2. e4 g6 3. d4 dxe4 4. c3	https://lichess.org/Td1mCQMM	7
Barnes Opening: Gedult Gambit 2	1. f3 f5 2. e4 fxe4 3. Nc3	https://lichess.org/enwqt0p4	5
Barnes Opening: Hammerschlag	1. f3 e5 2. Kf2	https://lichess.org/V7VFk2Iy	3
Clemenz Opening	1. h3	https://lichess.org/ikLo2N8T	1
Clemenz Opening: Spike Lee Gambit	1. h3 h5 2. g4	https://lichess.org/rW5Rv1wH	3
Crab Opening	1. a4 e5 2. h4	https://lichess.org/QgGaD1qp	3
Creepy Crawly Formation: Classical Defense	1. h3 d5 2. a3 e5	https://lichess.org/wWK4h6Yu	4
Englund Gambit Declined: Reversed French	1. e3 e5 2. d4	https://lichess.org/Pjs5X1Vw	3
Formation: Cabbage Attack	1. c3 e5 2. a3 d5 3. b3 Nf6 4. Bb2 Nc6 5. a4 Bd6 6. g3 O-O 7. e3	https://lichess.org/iJt9fA1x	13
Formation: Hippopotamus Attack	1. a3 e5 2. b3 d5 3. c3 Nf6 4. d3 Nc6 5. e3 Bd6 6. f3 O-O 7. g3	https://lichess.org/JVTdEeSP	13
Formation: Shy Attack	1. a3 e5 2. g3 d5 3. Bg2 Nf6 4. d3 Nc6 5. Nd2 Bd6 6. e3 O-O 7. h3	https://lichess.org/dLojYZHh	13
Gedult's Opening	1. f3	https://lichess.org/pC270H7d	1
Global Opening	1. h3 e5 2. a3	https://lichess.org/fuYE88vu	3
Grob Opening	1. g4	https://lichess.org/gGt24eSP	1
